province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3,testing_rate,hospitalization_rate
Queensland,Australia,2020-04-29 12:32:29,-27.4698,153.0251,1034,6,934,94,,20.2130779004985,,,0.58027079303675,3604,AUS,,
Recovered,Canada,2020-04-29 12:32:29,,,0,0,19231,-19231,,,,,,12415,CAN,,
Recovered,US,2020-04-29 12:32:29,,,0,0,115936,-115936,,,,,,84070001,USA,,
Reunion,France,2020-04-29 12:32:29,-21.1151,55.5364,418,0,300,118,,46.6878437364572,,,0,638,REU,,
Saint Barthelemy,France,2020-04-29 12:32:29,17.9,-62.8333,6,0,6,0,,60.6980273141123,,,0,652,BLM,,
Saint Pierre and Miquelon,France,2020-04-29 12:32:29,46.8852,-56.3159,1,0,0,1,,17.2562553925798,,,0,666,SPM,,
Saskatchewan,Canada,2020-04-29 12:32:29,52.9399,-106.4509,366,5,0,361,,30.9732191668373,,,1.36612021857924,12411,CAN,,
Shaanxi,China,2020-04-29 12:32:29,35.1917,108.8701,306,3,253,50,,0.791925465838509,,,0.980392156862745,15622,CHN,,
Shandong,China,2020-04-29 12:32:29,36.3427,118.1498,787,7,771,9,,0.783318403503533,,,0.889453621346887,15623,CHN,,
Shanghai,China,2020-04-29 12:32:29,31.202,121.4491,645,7,597,41,,2.66089108910891,,,1.08527131782946,15624,CHN,,
Shanxi,China,2020-04-29 12:32:29,37.5777,112.2922,197,0,160,37,,0.529854760623991,,,0,15625,CHN,,
Sichuan,China,2020-04-29 12:32:29,30.6171,102.7103,561,3,558,0,,0.672581225272749,,,0.53475935828877,15626,CHN,,
Sint Maarten,Netherlands,2020-04-29 12:32:29,18.0425,-63.0548,75,13,33,29,,174.898558835875,,,17.3333333333333,534,SXM,,
South Australia,Australia,2020-04-29 12:32:29,-34.9285,138.6007,438,4,420,14,,24.935952177626,,,0.91324200913242,3605,AUS,,
St Martin,France,2020-04-29 12:32:29,18.0708,-63.0501,38,3,24,11,,98.2953516645542,,,7.89473684210526,663,MAF,,
Tasmania,Australia,2020-04-29 12:32:29,-42.8821,147.3272,219,11,137,71,,40.8963585434174,,,5.02283105022831,3606,AUS,,
Tianjin,China,2020-04-29 12:32:29,39.3054,117.323,190,3,183,4,,1.21794871794872,,,1.57894736842105,15627,CHN,,
Tibet,China,2020-04-29 12:32:29,31.6927,88.0924,1,0,1,0,,0.0290697674418605,,,0,15628,CHN,,
Turks and Caicos Islands,United Kingdom,2020-04-29 12:32:29,21.694,-71.7979,12,1,5,6,,30.993336432667,,,8.33333333333333,796,TCA,,
Victoria,Australia,2020-04-29 12:32:29,-37.8136,144.9631,1354,18,1287,49,,20.4226308089111,,,1.32939438700148,3607,AUS,,
Western Australia,Australia,2020-04-29 12:32:29,-31.9505,115.8605,551,8,500,43,,20.9457918345625,,,1.4519056261343,3608,AUS,,
Xinjiang,China,2020-04-29 12:32:29,41.1129,85.2401,76,3,73,0,,0.305589063128267,,,3.94736842105263,15629,CHN,,
Yukon,Canada,2020-04-29 12:32:29,64.2823,-135,11,0,0,11,,26.778324163786,,,0,12412,CAN,,
Yunnan,China,2020-04-29 12:32:29,24.974,101.487,185,2,181,2,,0.383022774327122,,,1.08108108108108,15630,CHN,,
Zhejiang,China,2020-04-29 12:32:29,29.1832,120.0934,1268,1,1262,5,,2.21021439776887,,,0.0788643533123028,15631,CHN,,
Diamond Princess,Canada,2020-04-29 12:32:29,,,0,1,0,-1,,,,,,12413,CAN,,
Grand Princess,Canada,2020-04-29 12:32:29,,,13,0,0,13,,,,,0,12414,CAN,,
